﻿Code;Locatie;Datum;Uur5Minuten;Ordening;Totaal;Tegenrichting;Hoofdrichting
COU;Coupure-Links;2021-03-01;0:00:00;2021-03-01T00:00:00+01:00;2;2;0
COU;Coupure-Links;2021-03-01;0:05:00;2021-03-01T00:05:00+01:00;1;0;1
COU;Coupure-Links;2021-03-01;0:10:00;2021-03-01T00:10:00+01:00;1;1;0
COU;Coupure-Links;2021-03-01;0:15:00;2021-03-01T00:15:00+01:00;0;0;0
COU;Coupure-Links;2021-03-01;0:20:00;2021-03-01T00:20:00+01:00;0;0;0
COU;Coupure-Links;2021-03-01;0:25:00;2021-03-01T00:25:00+01:00;0;0;0
COU;Coupure-Links;2021-03-01;0:30:00;2021-03-01T00:30:00+01:00;0;0;0
COU;Coupure-Links;2021-03-01;0:35:00;2021-03-01T00:35:00+01:00;0;0;0
COU;Coupure-Links;2021-03-01;0:40:00;2021-03-01T00:40:00+01:00;0;0;0
COU;Coupure-Links;2021-03-01;0:45:00;2021-03-01T00:45:00+01:00;0;0;0
COU;Coupure-Links;2021-03-01;0:50:00;2021-03-01T00:50:00+01:00;0;0;0
COU;Coupure-Links;2021-03-01;0:55:00;2021-03-01T00:55:00+01:00;1;0;1
COU;Coupure-Links;2021-03-01;1:00:00;2021-03-01T01:00:00+01:00;0;0;0
COU;Coupure-Links;2021-03-01;1:05:00;2021-03-01T01:05:00+01:00;0;0;0
COU;Coupure-Links;2021-03-01;1:10:00;2021-03-01T01:10:00+01:00;0;0;0
COU;Coupure-Links;2021-03-01;1:15:00;2021-03-01T01:15:00+01:00;0;0;0
COU;Coupure-Links;2021-03-01;1:20:00;2021-03-01T01:20:00+01:00;0;0;0
COU;Coupure-Links;2021-03-01;1:25:00;2021-03-01T01:25:00+01:00;0;0;0
COU;Coupure-Links;2021-03-01;1:30:00;2021-03-01T01:30:00+01:00;0;0;0
COU;Coupure-Links;2021-03-01;1:35:00;2021-03-01T01:35:00+01:00;0;0;0
COU;Coupure-Links;2021-03-01;1:40:00;2021-03-01T01:40:00+01:00;0;0;0
COU;Coupure-Links;2021-03-01;1:45:00;2021-03-01T01:45:00+01:00;0;0;0
COU;Coupure-Links;2021-03-01;1:50:00;2021-03-01T01:50:00+01:00;0;0;0
COU;Coupure-Links;2021-03-01;1:55:00;2021-03-01T01:55:00+01:00;1;0;1
COU;Coupure-Links;2021-03-01;2:00:00;2021-03-01T02:00:00+01:00;0;0;0
COU;Coupure-Links;2021-03-01;2:05:00;2021-03-01T02:05:00+01:00;0;0;0
COU;Coupure-Links;2021-03-01;2:10:00;2021-03-01T02:10:00+01:00;0;0;0
COU;Coupure-Links;2021-03-01;2:15:00;2021-03-01T02:15:00+01:00;0;0;0
COU;Coupure-Links;2021-03-01;2:20:00;2021-03-01T02:20:00+01:00;0;0;0
COU;Coupure-Links;2021-03-01;2:25:00;2021-03-01T02:25:00+01:00;0;0;0
COU;Coupure-Links;2021-03-01;2:30:00;2021-03-01T02:30:00+01:00;0;0;0
COU;Coupure-Links;2021-03-01;2:35:00;2021-03-01T02:35:00+01:00;0;0;0
COU;Coupure-Links;2021-03-01;2:40:00;2021-03-01T02:40:00+01:00;0;0;0
COU;Coupure-Links;2021-03-01;2:45:00;2021-03-01T02:45:00+01:00;0;0;0
COU;Coupure-Links;2021-03-01;2:50:00;2021-03-01T02:50:00+01:00;0;0;0
COU;Coupure-Links;2021-03-01;2:55:00;2021-03-01T02:55:00+01:00;0;0;0
COU;Coupure-Links;2021-03-01;3:00:00;2021-03-01T03:00:00+01:00;0;0;0
COU;Coupure-Links;2021-03-01;3:05:00;2021-03-01T03:05:00+01:00;0;0;0
COU;Coupure-Links;2021-03-01;3:10:00;2021-03-01T03:10:00+01:00;0;0;0
COU;Coupure-Links;2021-03-01;3:15:00;2021-03-01T03:15:00+01:00;0;0;0
COU;Coupure-Links;2021-03-01;3:20:00;2021-03-01T03:20:00+01:00;1;0;1
COU;Coupure-Links;2021-03-01;3:25:00;2021-03-01T03:25:00+01:00;0;0;0
COU;Coupure-Links;2021-03-01;3:30:00;2021-03-01T03:30:00+01:00;0;0;0
COU;Coupure-Links;2021-03-01;3:35:00;2021-03-01T03:35:00+01:00;0;0;0
COU;Coupure-Links;2021-03-01;3:40:00;2021-03-01T03:40:00+01:00;0;0;0
COU;Coupure-Links;2021-03-01;3:45:00;2021-03-01T03:45:00+01:00;1;1;0
COU;Coupure-Links;2021-03-01;3:50:00;2021-03-01T03:50:00+01:00;0;0;0
COU;Coupure-Links;2021-03-01;3:55:00;2021-03-01T03:55:00+01:00;0;0;0
COU;Coupure-Links;2021-03-01;4:00:00;2021-03-01T04:00:00+01:00;0;0;0
COU;Coupure-Links;2021-03-01;4:05:00;2021-03-01T04:05:00+01:00;1;1;0
COU;Coupure-Links;2021-03-01;4:10:00;2021-03-01T04:10:00+01:00;1;1;0
COU;Coupure-Links;2021-03-01;4:15:00;2021-03-01T04:15:00+01:00;1;0;1
COU;Coupure-Links;2021-03-01;4:20:00;2021-03-01T04:20:00+01:00;1;1;0
COU;Coupure-Links;2021-03-01;4:25:00;2021-03-01T04:25:00+01:00;2;1;1
COU;Coupure-Links;2021-03-01;4:30:00;2021-03-01T04:30:00+01:00;3;2;1
COU;Coupure-Links;2021-03-01;4:35:00;2021-03-01T04:35:00+01:00;0;0;0
COU;Coupure-Links;2021-03-01;4:40:00;2021-03-01T04:40:00+01:00;4;4;0
COU;Coupure-Links;2021-03-01;4:45:00;2021-03-01T04:45:00+01:00;4;4;0
COU;Coupure-Links;2021-03-01;4:50:00;2021-03-01T04:50:00+01:00;3;2;1
COU;Coupure-Links;2021-03-01;4:55:00;2021-03-01T04:55:00+01:00;1;0;1
COU;Coupure-Links;2021-03-01;5:00:00;2021-03-01T05:00:00+01:00;1;0;1
COU;Coupure-Links;2021-03-01;5:05:00;2021-03-01T05:05:00+01:00;1;0;1
COU;Coupure-Links;2021-03-01;5:10:00;2021-03-01T05:10:00+01:00;8;6;2
COU;Coupure-Links;2021-03-01;5:15:00;2021-03-01T05:15:00+01:00;4;3;1
COU;Coupure-Links;2021-03-01;5:20:00;2021-03-01T05:20:00+01:00;1;0;1
COU;Coupure-Links;2021-03-01;5:25:00;2021-03-01T05:25:00+01:00;2;2;0
COU;Coupure-Links;2021-03-01;5:30:00;2021-03-01T05:30:00+01:00;3;3;0
COU;Coupure-Links;2021-03-01;5:35:00;2021-03-01T05:35:00+01:00;6;6;0
COU;Coupure-Links;2021-03-01;5:40:00;2021-03-01T05:40:00+01:00;2;1;1
COU;Coupure-Links;2021-03-01;5:45:00;2021-03-01T05:45:00+01:00;4;3;1
COU;Coupure-Links;2021-03-01;5:50:00;2021-03-01T05:50:00+01:00;3;3;0
COU;Coupure-Links;2021-03-01;5:55:00;2021-03-01T05:55:00+01:00;4;2;2
COU;Coupure-Links;2021-03-01;6:00:00;2021-03-01T06:00:00+01:00;6;1;5
COU;Coupure-Links;2021-03-01;6:05:00;2021-03-01T06:05:00+01:00;10;6;4
COU;Coupure-Links;2021-03-01;6:10:00;2021-03-01T06:10:00+01:00;6;5;1
COU;Coupure-Links;2021-03-01;6:15:00;2021-03-01T06:15:00+01:00;14;10;4
COU;Coupure-Links;2021-03-01;6:20:00;2021-03-01T06:20:00+01:00;11;6;5
COU;Coupure-Links;2021-03-01;6:25:00;2021-03-01T06:25:00+01:00;8;4;4
COU;Coupure-Links;2021-03-01;6:30:00;2021-03-01T06:30:00+01:00;11;6;5
COU;Coupure-Links;2021-03-01;6:35:00;2021-03-01T06:35:00+01:00;12;10;2
